ID     | Command line                                                                                                                                                                              | Date and time    | Action(s)      | Altered
    19 | -y install --setopt=install_weak_deps=false texlive-scheme-medium                                                                                                                         | 2020-12-02 21:43 | Install        | 1507 EE
    18 | -q -y install --setopt=install_weak_deps=false bluez-hcidump wireshark                                                                                                                    | 2020-12-02 21:35 | Install        |    6   
    17 | -q -y install --setopt=install_weak_deps=false podman podman-compose firejail git hub tig dos2unix ShellCheck jq xmlstarlet editorconfig java-1.8.0-openjdk-devel java-11-openjdk-devel m | 2020-12-01 19:39 | Install        |  100   
    16 | install -y p7zip                                                                                                                                                                          | 2020-11-25 11:02 | Install        |    1   
    15 | install keepassxc                                                                                                                                                                         | 2020-11-23 15:26 | Install        |    6   
    14 | install htop                                                                                                                                                                              | 2020-11-23 14:13 | Install        |    1   
    13 | remove libgcc.i686 glibc.i686 ncurses-libs.i686 zlib.i686 bzip2-libs.i686 glibc-devel.i686 libstdc++.i686 libX11-devel.i686 libXrender.i686 libXrandr.i686                                | 2020-11-23 12:37 | Removed        |   20   
    12 | -y install libgcc.i686 glibc.i686 ncurses-libs.i686 zlib.i686 bzip2-libs.i686 glibc-devel.i686 libstdc++.i686 libX11-devel.i686 libXrender.i686 libXrandr.i686                            | 2020-11-23 12:27 | Install        |   20   
    11 | -y install alacritty                                                                                                                                                                      | 2020-11-23 12:10 | Install        |    1   
    10 | remove alacritty                                                                                                                                                                          | 2020-11-23 12:03 | Removed        |    1   
     9 | install slack -y                                                                                                                                                                          | 2020-11-23 11:36 | Install        |    5   
     8 | install slack-repo -y                                                                                                                                                                     | 2020-11-23 11:36 | Install        |    1   
     7 | install alacritty -y                                                                                                                                                                      | 2020-11-23 11:26 | Install        |    1   
     6 | install fedy                                                                                                                                                                              | 2020-11-23 11:23 | Install        |    1   
     5 | install https://download1.rpmfusion.org/free/fedora/rpmfusion-free-release-33.noarch.rpm https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-33.noarch.rpm           | 2020-11-23 11:21 | Install        |    2   
     4 | localinstall zoom_x86_64.rpm                                                                                                                                                              | 2020-11-23 10:03 | Install        |    1 EE
     3 | -y install pdfgrep podman podman-compose firejail chromium git ShellCheck xmlstarlet zsh tmux vim-X11 java-11-openjdk-devel tig ripgrep fzf bat exa fd-find wl-clipboard util-linux-user  | 2020-11-22 21:14 | Install        |   31   
     2 | -y update                                                                                                                                                                                 | 2020-11-22 21:09 | I, U           |  467 EE
     1 |                                                                                                                                                                                           | 2020-10-19 19:35 | Install        | 1719 EE
